編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/11/3 下午 07:19:00,121.52,24.08,21,3.7,花蓮縣政府西北方  13.8  公里 (位於花蓮縣秀林鄉)
小區域,2018/11/3 上午 03:23:00,121.73,24.58,64.4,3.7,宜蘭縣政府南偏西方  16.7  公里 (位於宜蘭縣大同鄉)
小區域,2018/11/2 上午 04:07:00,121.89,24.44,22.4,3.8,宜蘭縣政府南偏東方  35.1  公里 (位於宜蘭縣近海)
小區域,2018/11/2 上午 01:32:00,121.64,23.57,47.1,4,花蓮縣政府南方  46.6  公里 (位於臺灣東部海域)
126   ,2018/10/31 上午 08:11:00,121.4,23.75,22.2,4.2,花蓮縣政府西南方  34.7  公里 (位於花蓮縣萬榮鄉)
小區域,2018/10/31 上午 05:44:00,121.01,23.99,16.5,3.3,南投縣政府東偏北方  33.7  公里 (位於南投縣埔里鎮)
小區域,2018/10/28 下午 04:08:00,121.7,24.01,22.2,3.1,花蓮縣政府東偏北方  8.1  公里 (位於花蓮縣近海)
小區域,2018/10/26 下午 07:33:00,122,23.5,30.4,4.3,花蓮縣政府東南方  67.4  公里 (位於臺灣東部海域)
小區域,2018/10/25 上午 03:34:00,120.38,23.2,12.2,3,臺南市政府東北方  30.5  公里 (位於臺南市官田區)
125   ,2018/10/24 上午 12:04:00,122.63,23.99,30.1,5.9,花蓮縣政府東方  102.8  公里 (位於臺灣東部海域)
124   ,2018/10/23 下午 12:34:00,122.62,24,31.2,6.1,花蓮縣政府東方  102.2  公里 (位於臺灣東部海域)
小區域,2018/10/21 上午 07:10:00,121.41,24.08,63,4.3,花蓮縣政府西偏北方  23.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/10/18 下午 06:11:00,121.66,24.07,8.4,3.1,花蓮縣政府北偏東方  9.5  公里 (位於花蓮縣近海)
小區域,2018/10/16 下午 11:32:00,121.39,24.68,28.7,3.3,桃園市政府南偏東方  35.7  公里 (位於桃園市復興區)
小區域,2018/10/10 下午 09:51:00,120.7,23.09,6.5,3.8,高雄市政府東北方  65.6  公里 (位於高雄市桃源區)
123   ,2018/10/10 下午 05:43:00,122.04,24.91,14.5,4.5,宜蘭縣政府東偏北方  34.2  公里 (位於臺灣東部海域)
122   ,2018/10/9 下午 04:12:00,121.38,22.92,24.8,4.6,臺東縣政府東北方  29.1  公里 (位於臺灣東南部海域)
小區域,2018/10/7 下午 06:20:00,121.29,22.84,18.7,3.6,臺東縣政府東偏北方  17.1  公里 (位於臺灣東南部海域)
小區域,2018/10/7 下午 01:41:00,121.01,24.72,6.5,3.6,新竹縣政府南方  11.9  公里 (位於新竹縣寶山鄉)
小區域,2018/10/5 上午 10:27:00,121.36,23.11,20.3,3.7,臺東縣政府北偏東方  44.6  公里 (位於臺東縣成功鎮)
小區域,2018/10/4 下午 02:17:00,120.47,22.12,36.5,4.6,高雄市政府南偏東方  57.9  公里 (位於臺灣西南部海域)
小區域,2018/10/3 下午 05:30:00,120.49,23.44,11.7,3.8,嘉義縣政府東方  20.0  公里 (位於嘉義縣中埔鄉)
小區域,2018/10/1 下午 02:12:00,121.31,23.07,33.6,3.4,臺東縣政府北偏東方  38.7  公里 (位於臺東縣東河鄉)
小區域,2018/10/1 下午 02:03:00,121.09,22.8,6.5,3.4,臺東縣政府西北方  8.1  公里 (位於臺東縣卑南鄉)
小區域,2018/10/1 下午 01:50:00,121.09,22.81,6.9,3.8,臺東縣政府西北方  8.3  公里 (位於臺東縣卑南鄉)
小區域,2018/9/30 下午 04:27:00,121.61,23.62,31.1,4.1,花蓮縣政府南方  41.0  公里 (位於花蓮縣近海)
小區域,2018/9/29 下午 07:52:00,121.85,24.42,17.1,3.6,宜蘭縣政府南偏東方  35.7  公里 (位於宜蘭縣近海)
小區域,2018/9/29 下午 03:08:00,120.99,24.72,7.7,1.8,新竹縣政府南方  11.8  公里 (位於新竹縣寶山鄉)
小區域,2018/9/25 下午 08:27:00,121.48,23.94,20.4,2.9,花蓮縣政府西偏南方  15.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/9/23 下午 05:09:00,120.7,23.18,10.3,3.8,高雄市政府東北方  73.6  公里 (位於高雄市那瑪夏區)
小區域,2018/9/21 下午 03:37:00,121.73,24.43,8.4,3.4,宜蘭縣政府南方  33.8  公里 (位於宜蘭縣南澳鄉)
小區域,2018/9/19 下午 10:01:00,121.61,23.93,43.6,3.6,花蓮縣政府南偏西方  6.4  公里 (位於花蓮縣近海)
121   ,2018/9/18 上午 04:08:00,121.01,24.02,18.4,4.4,南投縣政府東偏北方  35.4  公里 (位於南投縣埔里鎮)
小區域,2018/9/17 上午 01:17:00,121.39,24.83,10.6,3.2,桃園市政府南偏東方  20.5  公里 (位於桃園市復興區)
小區域,2018/9/16 上午 03:01:00,120.79,24.24,11,3,臺中市政府東北方  15.9  公里 (位於臺中市新社區)
小區域,2018/9/15 上午 01:13:00,120.19,23.02,14.6,2.7,臺南市政府北偏東方  3.6  公里 (位於臺南市北區)
小區域,2018/9/14 下午 12:50:00,121.62,23.62,32,3.6,花蓮縣政府南方  41.6  公里 (位於花蓮縣近海)
小區域,2018/9/14 上午 09:08:00,121.01,24,17.3,3.6,南投縣政府東偏北方  33.7  公里 (位於南投縣埔里鎮)
小區域,2018/9/12 上午 05:20:00,122.26,24.04,44.7,4.6,花蓮縣政府東方  65.2  公里 (位於臺灣東部海域)
