編號,地震時間,經度,緯度,深度,規模,震央位置
109   ,2018/7/14 下午 07:46:00,121.8,24.56,67.4,4.3,宜蘭縣政府南偏東方  19.3  公里 (位於宜蘭縣南澳鄉)
小區域,2018/7/14 上午 04:42:00,121.17,22.97,9.8,3.8,臺東縣政府北方  24.3  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/14 上午 02:47:00,121.15,22.98,9.2,3.8,臺東縣政府北方  25.3  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/14 上午 02:47:00,121.15,22.99,6.8,3.9,臺東縣政府北方  25.8  公里 (位於臺東縣鹿野鄉)
108   ,2018/7/14 上午 02:38:00,121.17,22.99,8,4.8,臺東縣政府北方  26.5  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/14 上午 02:32:00,121.17,22.99,7.4,3.5,臺東縣政府北方  26.3  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/14 上午 02:28:00,121.17,22.99,9,3.5,臺東縣政府北方  25.6  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/14 上午 12:47:00,120.72,23.59,17.3,4.1,雲林縣政府東偏南方  23.6  公里 (位於雲林縣古坑鄉)
小區域,2018/7/13 下午 08:10:00,121.16,22.98,9.7,3.6,臺東縣政府北方  25.2  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/13 下午 08:10:00,121.16,22.98,8.4,3.3,臺東縣政府北方  25.3  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/13 下午 02:31:00,121.17,22.99,9.1,4,臺東縣政府北方  26.2  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/13 上午 09:56:00,120.2,23,14.4,2.5,臺南市政府東偏北方  1.8  公里 (位於臺南市中西區)
小區域,2018/7/13 上午 09:42:00,121.55,23.86,51,4,花蓮縣政府南偏西方  15.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/7/13 上午 04:18:00,122.16,24.3,58.4,4.1,宜蘭縣政府東南方  62.8  公里 (位於臺灣東部海域)
小區域,2018/7/13 上午 01:44:00,121.37,22.92,20.9,3.1,臺東縣政府東北方  28.8  公里 (位於臺灣東部海域)
小區域,2018/7/12 下午 10:38:00,120.48,23.44,12.1,2.7,嘉義市政府東南方  5.3  公里 (位於嘉義縣中埔鄉)
小區域,2018/7/12 下午 09:00:00,120.48,23.44,12.2,3.3,嘉義市政府東南方  5.1  公里 (位於嘉義縣中埔鄉)
小區域,2018/7/12 上午 05:05:00,120.21,23.02,13.9,3.1,臺南市政府東北方  4.7  公里 (位於臺南市北區)
107   ,2018/7/11 下午 08:41:00,120.21,23.03,16.8,4.5,臺南市政府東北方  5.2  公里 (位於臺南市安南區)
小區域,2018/7/10 下午 09:58:00,120.99,23.07,3.6,4.1,臺東縣政府北偏西方  38.4  公里 (位於臺東縣海端鄉)
小區域,2018/7/10 上午 04:25:00,120.48,23.44,12.2,2.8,嘉義市政府東南方  5.2  公里 (位於嘉義縣中埔鄉)
106   ,2018/7/7 下午 06:43:00,121.37,24.45,9.3,2.5,宜蘭縣政府西南方  50.7  公里 (位於宜蘭縣大同鄉)
小區域,2018/7/7 下午 02:46:00,121.48,23.86,14.5,2.8,花蓮縣政府西南方  20.2  公里 (位於花蓮縣壽豐鄉)
小區域,2018/7/6 下午 07:06:00,121.11,22.9,15.8,3.4,臺東縣政府北偏西方  16.6  公里 (位於臺東縣鹿野鄉)
小區域,2018/7/5 下午 10:45:00,120.53,23.28,10.8,3.5,嘉義市政府南偏東方  23.9  公里 (位於嘉義縣大埔鄉)
105   ,2018/7/4 下午 03:45:00,120.91,23.13,1.6,4.2,臺東縣政府北偏西方  48.5  公里 (位於臺東縣海端鄉)
小區域,2018/7/4 下午 03:40:00,121.18,23.01,10.3,2.6,臺東縣政府北方  28.1  公里 (位於臺東縣關山鎮)
小區域,2018/7/4 上午 05:51:00,121.19,23.02,9.5,3.1,臺東縣政府北方  29.7  公里 (位於臺東縣關山鎮)
104   ,2018/7/4 上午 04:10:00,121.18,23.01,10,4.4,臺東縣政府北方  28.6  公里 (位於臺東縣關山鎮)
小區域,2018/7/4 上午 04:07:00,121.19,23.02,10.3,3.7,臺東縣政府北方  29.3  公里 (位於臺東縣關山鎮)
小區域,2018/7/3 下午 06:54:00,120.9,23.15,1.4,3.7,臺東縣政府北偏西方  50.6  公里 (位於臺東縣海端鄉)
103   ,2018/7/3 下午 05:20:00,120.9,23.16,1,4.8,臺東縣政府北偏西方  51.7  公里 (位於臺東縣海端鄉)
小區域,2018/7/3 下午 04:32:00,121.13,24.1,9.7,3.6,臺中市政府東方  46.5  公里 (位於南投縣仁愛鄉)
小區域,2018/7/3 下午 02:52:00,121.14,24.1,9.9,3.2,臺中市政府東方  46.6  公里 (位於南投縣仁愛鄉)
小區域,2018/7/3 上午 08:15:00,120.48,23.44,12.7,2.7,嘉義市政府東南方  5.4  公里 (位於嘉義縣中埔鄉)
小區域,2018/7/3 上午 05:45:00,121.47,23.72,7.9,2.3,花蓮縣政府南偏西方  33.4  公里 (位於花蓮縣鳳林鎮)
小區域,2018/7/3 上午 04:45:00,120.48,23.44,11.8,3,嘉義市政府南偏東方  5.4  公里 (位於嘉義縣中埔鄉)
小區域,2018/7/3 上午 04:17:00,121.55,23.51,32.1,3.3,花蓮縣政府南方  53.5  公里 (位於花蓮縣近海)
102   ,2018/7/3 上午 03:36:00,120.48,23.44,12.2,4.1,嘉義市政府東南方  5.4  公里 (位於嘉義縣中埔鄉)
小區域,2018/7/2 下午 05:04:00,120.63,23.33,7.7,3.6,嘉義市政府東南方  24.5  公里 (位於嘉義縣大埔鄉)
101   ,2018/7/2 下午 03:26:00,120.48,23.44,12,4.7,嘉義市政府南偏東方  5.7  公里 (位於嘉義縣中埔鄉)
100   ,2018/7/2 下午 03:26:00,120.48,23.44,12.1,4.5,嘉義市政府南偏東方  5.4  公里 (位於嘉義縣中埔鄉)
小區域,2018/6/30 下午 02:32:00,121.44,23.64,35.5,3.5,花蓮縣政府南偏西方  42.8  公里 (位於花蓮縣光復鄉)
小區域,2018/6/28 下午 02:30:00,121.17,23,10.6,4,臺東縣政府北方  26.7  公里 (位於臺東縣關山鎮)
小區域,2018/6/28 上午 11:23:00,120.19,23,13,2.9,臺南市政府東北方  1.7  公里 (位於臺南市中西區)
小區域,2018/6/28 上午 11:20:00,120.19,23,13.5,2.4,臺南市政府東偏北方  1.2  公里 (位於臺南市中西區)
小區域,2018/6/28 上午 10:34:00,121.17,23.07,12.6,2.8,臺東縣政府北方  35.2  公里 (位於臺東縣關山鎮)
小區域,2018/6/28 上午 12:18:00,121.17,23,11,3.4,臺東縣政府北方  26.6  公里 (位於臺東縣關山鎮)
099   ,2018/6/27 下午 11:26:00,121.17,23,10.4,4.3,臺東縣政府北方  27.8  公里 (位於臺東縣關山鎮)
098   ,2018/6/27 下午 07:15:00,121.44,23.64,13.5,3.8,花蓮縣政府南偏西方  42.6  公里 (位於花蓮縣光復鄉)
小區域,2018/6/27 上午 05:23:00,122.26,24.15,45.7,4.3,花蓮縣政府東偏北方  67.5  公里 (位於臺灣東部海域)
小區域,2018/6/26 下午 11:48:00,121.4,23.75,19.8,2.9,花蓮縣政府西南方  35.1  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/26 下午 01:00:00,121.55,23.57,31.4,3.5,花蓮縣政府南方  47.6  公里 (位於花蓮縣近海)
小區域,2018/6/26 上午 03:07:00,122.06,24.75,68.2,4.1,宜蘭縣政府東方  29.8  公里 (位於臺灣東部海域)
小區域,2018/6/25 下午 09:08:00,121.23,22.82,9.5,2.5,臺東縣政府東北方  10.9  公里 (位於臺東縣近海)
小區域,2018/6/25 上午 01:53:00,120.52,23.3,12.9,2.9,嘉義市政府南偏東方  20.7  公里 (位於臺南市東山區)
小區域,2018/6/23 上午 12:11:00,120.68,22.71,26.4,3.3,屏東縣政府東方  19.5  公里 (位於屏東縣三地門鄉)
小區域,2018/6/22 下午 06:13:00,120.83,23.21,5.4,3.4,嘉義市政府東南方  48.7  公里 (位於高雄市桃源區)
小區域,2018/6/22 下午 04:13:00,121.79,24.72,10.6,3,宜蘭縣政府東偏南方  2.6  公里 (位於宜蘭縣壯圍鄉)
小區域,2018/6/22 下午 01:19:00,120.83,23.21,4.6,4.1,嘉義市政府東南方  48.9  公里 (位於高雄市桃源區)
小區域,2018/6/22 上午 02:42:00,121.48,23.83,8.2,2.9,花蓮縣政府西南方  22.9  公里 (位於花蓮縣壽豐鄉)
小區域,2018/6/21 下午 05:44:00,121.27,23.66,10.9,3.4,花蓮縣政府西南方  51.4  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/21 上午 03:18:00,122.24,24.07,34.6,4.8,花蓮縣政府東方  63.6  公里 (位於臺灣東部海域)
097   ,2018/6/21 上午 01:08:00,120.92,24.21,34.8,3.9,臺中市政府東偏北方  25.2  公里 (位於臺中市和平區)
小區域,2018/6/20 下午 12:49:00,121.55,23.77,21,3.2,花蓮縣政府南偏西方  25.9  公里 (位於花蓮縣壽豐鄉)
小區域,2018/6/20 上午 01:02:00,120.99,23.08,3.2,3.7,臺東縣政府北偏西方  39.2  公里 (位於臺東縣海端鄉)
小區域,2018/6/18 下午 11:06:00,122.63,24.81,126.4,4.7,宜蘭縣政府東方  87.8  公里 (位於臺灣東部海域)
小區域,2018/6/16 上午 09:08:00,121.83,24.68,63.2,3.8,宜蘭縣政府東南方  9.3  公里 (位於宜蘭縣近海)
096   ,2018/6/16 上午 04:53:00,121.84,24.67,63.2,5.3,宜蘭縣政府東南方  10.3  公里 (位於宜蘭縣近海)
小區域,2018/6/15 下午 05:37:00,121.76,24.45,6.8,2.8,宜蘭縣政府南方  31.2  公里 (位於宜蘭縣南澳鄉)
小區域,2018/6/15 下午 02:41:00,120.06,22.91,14.3,3.5,臺南市政府西南方  15.6  公里 (位於臺灣西部海域)
小區域,2018/6/15 下午 02:15:00,121.75,24.45,7.1,2.7,宜蘭縣政府南方  31.2  公里 (位於宜蘭縣南澳鄉)
小區域,2018/6/13 下午 05:49:00,120.99,23.08,2.5,4.1,臺東縣政府北偏西方  40.0  公里 (位於臺東縣海端鄉)
095   ,2018/6/12 上午 04:52:00,121.76,23.98,5.1,4.6,花蓮縣政府東方  14.4  公里 (位於臺灣東部海域)
小區域,2018/6/12 上午 02:12:00,121.76,23.97,7.2,3.6,花蓮縣政府東方  14.7  公里 (位於臺灣東部海域)
094   ,2018/6/11 下午 11:42:00,121.75,23.98,6.7,4.5,花蓮縣政府東方  13.1  公里 (位於臺灣東部海域)
小區域,2018/6/11 下午 08:25:00,120.71,23.64,14.6,3,雲林縣政府東偏南方  19.5  公里 (位於南投縣竹山鎮)
小區域,2018/6/11 下午 02:14:00,121.49,23.96,15.7,2.4,花蓮縣政府西偏南方  13.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/11 下午 01:04:00,121.48,24,15.2,2.8,花蓮縣政府西方  13.9  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/11 下午 12:52:00,121.41,23.78,17.3,2.8,花蓮縣政府西南方  31.2  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/10 下午 05:21:00,120.57,23.57,5.6,2.2,雲林縣政府南偏東方  14.7  公里 (位於嘉義縣梅山鄉)
小區域,2018/6/10 下午 04:18:00,120.58,23.58,6.1,3.6,雲林縣政府南偏東方  14.6  公里 (位於嘉義縣梅山鄉)
小區域,2018/6/10 下午 03:29:00,122.02,23.32,32.5,4.1,花蓮縣政府南偏東方  84.8  公里 (位於臺灣東部海域)
小區域,2018/6/10 下午 01:09:00,121.89,24.4,18.2,3.7,宜蘭縣政府南偏東方  38.9  公里 (位於臺灣東部海域)
小區域,2018/6/10 上午 10:19:00,120.55,23.21,15.8,3.3,嘉義市政府南偏東方  31.4  公里 (位於臺南市楠西區)
小區域,2018/6/10 上午 08:53:00,121.18,24.89,13.6,2.2,桃園市政府西南方  17.1  公里 (位於桃園市龍潭區)
小區域,2018/6/10 上午 03:09:00,120.43,23.26,8.9,3.8,嘉義市政府南方  24.1  公里 (位於臺南市東山區)
小區域,2018/6/9 下午 05:40:00,121.79,24.39,21.9,3,宜蘭縣政府南方  37.5  公里 (位於宜蘭縣近海)
小區域,2018/6/9 上午 07:14:00,121.37,23.21,17.8,3.5,臺東縣政府北偏東方  54.9  公里 (位於臺東縣成功鎮)
小區域,2018/6/9 上午 04:21:00,121.24,22.86,9.5,3.5,臺東縣政府東北方  14.8  公里 (位於臺東縣近海)
小區域,2018/6/8 下午 08:25:00,120.74,24.11,13.6,3.2,臺中市政府東偏南方  6.7  公里 (位於臺中市太平區)
小區域,2018/6/8 下午 12:36:00,120.89,23.16,5.4,3.5,臺東縣政府北偏西方  52.2  公里 (位於臺東縣海端鄉)
小區域,2018/6/8 上午 07:21:00,121.27,23.64,10.8,3.2,花蓮縣政府西南方  52.2  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/8 上午 06:31:00,121.27,23.65,10.6,3.6,花蓮縣政府西南方  51.8  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/8 上午 12:03:00,121.26,23.65,3.8,3.2,花蓮縣政府西南方  52.6  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/8 上午 12:03:00,121.27,23.65,10.8,2.8,花蓮縣政府西南方  52.1  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/7 下午 11:46:00,121.45,24.36,6.3,2.7,花蓮縣政府北偏西方  44.8  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/7 下午 09:52:00,121.27,23.65,10.5,3.4,花蓮縣政府西南方  51.6  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/7 下午 09:17:00,121.27,23.65,10.9,3.8,花蓮縣政府西南方  52.3  公里 (位於花蓮縣萬榮鄉)
小區域,2018/6/7 上午 05:19:00,121.4,22.09,19.2,4.2,臺東縣政府南偏東方  77.9  公里 (位於臺灣東部海域)
093   ,2018/6/7 上午 02:14:00,121.21,22.84,8.4,4.1,臺東縣政府東北方  11.1  公里 (位於臺東縣近海)
小區域,2018/6/4 下午 02:34:00,120.48,23.44,11.8,3.7,嘉義市政府南偏東方  5.7  公里 (位於嘉義縣中埔鄉)
小區域,2018/6/2 下午 09:37:00,121.48,23.95,18.4,3.7,花蓮縣政府西偏南方  15.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/2 下午 07:25:00,121.91,24.5,60.4,4.2,宜蘭縣政府南偏東方  29.6  公里 (位於宜蘭縣近海)
小區域,2018/6/2 下午 06:40:00,121.49,24,18.4,2.7,花蓮縣政府西方  13.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/2 上午 10:54:00,120.66,23.65,9.2,3.4,雲林縣政府東偏南方  14.7  公里 (位於南投縣竹山鎮)
092   ,2018/6/2 上午 10:01:00,121.05,23.89,18.3,4.7,南投縣政府東方  36.6  公里 (位於南投縣仁愛鄉)
小區域,2018/6/2 上午 08:28:00,121.23,22.84,7.9,3.5,臺東縣政府東北方  12.8  公里 (位於臺東縣近海)
091   ,2018/6/2 上午 01:43:00,121.48,23.94,18.9,4.3,花蓮縣政府西偏南方  15.5  公里 (位於花蓮縣秀林鄉)
小區域,2018/6/1 下午 12:31:00,120.52,23.28,7.1,3.1,嘉義市政府南偏東方  23.2  公里 (位於嘉義縣大埔鄉)
小區域,2018/5/31 下午 06:07:00,121.68,23.9,26.9,2.9,花蓮縣政府南偏東方  11.8  公里 (位於花蓮縣近海)
小區域,2018/5/31 上午 09:19:00,121.22,22.85,9.8,2.9,臺東縣政府東北方  12.9  公里 (位於臺東縣近海)
小區域,2018/5/31 上午 09:17:00,121.23,22.83,9.2,3.1,臺東縣政府東北方  11.8  公里 (位於臺東縣近海)
小區域,2018/5/31 上午 09:03:00,121.28,22.81,17,4.2,臺東縣政府東偏北方  14.4  公里 (位於臺東縣近海)
090   ,2018/5/31 上午 09:03:00,121.23,22.86,8.7,4.7,臺東縣政府東北方  14.0  公里 (位於臺東縣近海)
小區域,2018/5/29 下午 04:02:00,121.67,24.05,8.2,3.3,花蓮縣政府東北方  8.4  公里 (位於花蓮縣近海)
小區域,2018/5/29 上午 11:02:00,121.43,23.87,26.2,2.8,花蓮縣政府西偏南方  23.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/29 上午 09:38:00,120.88,22.14,7.1,3.4,屏東縣政府東南方  72.6  公里 (位於屏東縣牡丹鄉)
小區域,2018/5/26 上午 08:17:00,121.5,21.97,21.5,2.9,臺東縣政府南偏東方  93.9  公里 (位於臺灣東南部海域)
小區域,2018/5/25 下午 02:56:00,121.23,22.85,7.3,2.9,臺東縣政府東北方  13.4  公里 (位於臺東縣近海)
小區域,2018/5/25 下午 02:51:00,121.22,22.86,8.4,3,臺東縣政府北偏東方  13.1  公里 (位於臺東縣近海)
小區域,2018/5/24 上午 10:29:00,120.37,23.36,10.7,3.3,嘉義縣政府東南方  13.4  公里 (位於臺南市後壁區)
小區域,2018/5/24 上午 10:28:00,120.37,23.36,9.5,3.4,嘉義縣政府東南方  13.6  公里 (位於臺南市後壁區)
089   ,2018/5/23 下午 04:30:00,120.3,23.43,14.2,4.1,嘉義縣政府南方  3.6  公里 (位於嘉義縣鹿草鄉)
小區域,2018/5/22 下午 09:36:00,120.3,23.43,13.5,2.6,嘉義縣政府南方  3.4  公里 (位於嘉義縣鹿草鄉)
小區域,2018/5/21 下午 08:58:00,121.43,23.45,31.1,3.4,花蓮縣政府南偏西方  62.7  公里 (位於花蓮縣玉里鎮)
小區域,2018/5/21 上午 11:42:00,121.31,24.73,8.3,3.1,桃園市政府南方  28.9  公里 (位於桃園市復興區)
小區域,2018/5/20 下午 02:44:00,121.63,24.2,18.9,3.5,花蓮縣政府北方  23.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/20 下午 12:52:00,121.12,21.9,28.6,3.8,臺東縣政府南方  94.9  公里 (位於臺灣東南部海域)
小區域,2018/5/20 上午 11:41:00,121.97,24.36,21.1,3.5,宜蘭縣政府南偏東方  45.8  公里 (位於臺灣東部海域)
小區域,2018/5/20 上午 01:13:00,121.71,24.25,13.9,2.8,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/19 上午 11:09:00,122.32,24.95,17.5,4.3,基隆市政府東偏南方  61.7  公里 (位於臺灣東部海域)
小區域,2018/5/18 上午 11:54:00,121.02,24.76,4.7,2.3,新竹市政府東南方  6.8  公里 (位於新竹市東區)
小區域,2018/5/16 下午 03:32:00,120.46,23.16,10.1,2.9,臺南市政府東偏北方  33.7  公里 (位於臺南市玉井區)
小區域,2018/5/15 下午 04:14:00,121.02,24.76,4.6,1.3,新竹市政府東南方  6.9  公里 (位於新竹市東區)
小區域,2018/5/13 上午 05:18:00,121.95,24.73,78.8,4.3,宜蘭縣政府東方  19.3  公里 (位於臺灣東部海域)
小區域,2018/5/13 上午 02:15:00,121.84,24.54,7.2,2.5,宜蘭縣政府南偏東方  22.4  公里 (位於宜蘭縣南澳鄉)
088   ,2018/5/12 下午 12:17:00,121.69,23.86,47.7,4.7,花蓮縣政府南偏東方  15.8  公里 (位於臺灣東部海域)
小區域,2018/5/12 上午 03:46:00,121.34,22.56,18.8,3.3,臺東縣政府東南方  29.0  公里 (位於臺灣東部海域)
小區域,2018/5/11 下午 07:11:00,121.6,23.97,5,2.1,花蓮縣政府西南方  2.9  公里 (位於花蓮縣花蓮市)
小區域,2018/5/11 上午 08:15:00,120.68,22.84,19.6,3.6,屏東縣政府東北方  26.3  公里 (位於屏東縣三地門鄉)
小區域,2018/5/9 下午 04:43:00,121.6,24.55,6.7,3.3,宜蘭縣政府西南方  26.0  公里 (位於宜蘭縣南澳鄉)
小區域,2018/5/9 上午 02:47:00,122.3,24.95,16.6,3.8,宜蘭縣政府東偏北方  59.1  公里 (位於臺灣東部海域)
小區域,2018/5/9 上午 01:39:00,122.3,24.93,10,3.9,宜蘭縣政府東偏北方  59.1  公里 (位於臺灣東部海域)
小區域,2018/5/9 上午 12:04:00,121.31,22.68,37.3,4.2,臺東縣政府東偏南方  18.7  公里 (位於臺灣東部海域)
小區域,2018/5/8 下午 07:29:00,120.89,23.78,21.2,2.9,南投縣政府東偏南方  24.6  公里 (位於南投縣信義鄉)
小區域,2018/5/5 下午 09:01:00,121.64,24.3,22.4,3.4,花蓮縣政府北方  34.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/5 下午 07:32:00,121.64,24.33,22.7,2.8,花蓮縣政府北方  37.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/5 下午 02:12:00,121.37,24.44,9,3.2,宜蘭縣政府西南方  50.9  公里 (位於宜蘭縣大同鄉)
小區域,2018/5/4 上午 07:37:00,120.5,23.14,14.5,3.2,臺南市政府東偏北方  35.8  公里 (位於臺南市楠西區)
087   ,2018/5/4 上午 06:19:00,120.5,23.14,14.6,4.1,臺南市政府東偏北方  35.7  公里 (位於臺南市楠西區)
小區域,2018/5/3 下午 03:35:00,120.72,23.59,15.2,3.2,雲林縣政府東偏南方  23.0  公里 (位於雲林縣古坑鄉)
小區域,2018/5/3 上午 05:23:00,121.99,24.3,51.8,3.8,花蓮縣政府東北方  51.1  公里 (位於臺灣東部海域)
小區域,2018/5/3 上午 01:27:00,121.08,22.91,11.4,3.3,臺東縣政府北偏西方  18.2  公里 (位於臺東縣鹿野鄉)
086   ,2018/5/2 上午 07:47:00,122.36,24.02,24.8,5.5,花蓮縣政府東方  75.5  公里 (位於臺灣東部海域)
小區域,2018/5/2 上午 12:47:00,122.06,24.48,59.9,4.3,宜蘭縣政府東南方  41.1  公里 (位於臺灣東部海域)
小區域,2018/5/1 下午 02:37:00,121.71,24.32,4.1,3.5,花蓮縣政府北偏東方  37.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/5/1 上午 07:10:00,121.01,22.38,11.6,3.7,臺東縣政府南偏西方  44.5  公里 (位於臺灣東部海域)
小區域,2018/4/30 下午 05:19:00,121,24.21,35.9,3.4,臺中市政府東偏北方  33.7  公里 (位於臺中市和平區)
小區域,2018/4/30 上午 07:49:00,121.47,23.93,18.4,3.2,花蓮縣政府西偏南方  16.8  公里 (位於花蓮縣秀林鄉)
小區域,2018/4/29 下午 09:54:00,121.09,22.91,10.9,3.4,臺東縣政府北偏西方  18.7  公里 (位於臺東縣延平鄉)
小區域,2018/4/29 下午 04:39:00,121.01,22.36,11.8,3.8,臺東縣政府南偏西方  46.1  公里 (位於臺灣東部海域)
085   ,2018/4/29 下午 03:02:00,121,22.36,12.1,4.4,臺東縣政府南偏西方  46.1  公里 (位於臺東縣近海)
小區域,2018/4/28 上午 03:15:00,121.77,24.47,10,2.9,宜蘭縣政府南方  28.6  公里 (位於宜蘭縣南澳鄉)
小區域,2018/4/27 下午 04:01:00,121,24.76,5.1,1.9,新竹市政府東南方  6.2  公里 (位於新竹縣寶山鄉)
084   ,2018/4/27 下午 01:55:00,120.99,22.34,11.9,4.5,臺東縣政府南偏西方  48.9  公里 (位於臺東縣近海)
小區域,2018/4/27 下午 12:34:00,120.99,22.33,11.7,3.5,臺東縣政府南偏西方  49.6  公里 (位於臺灣東部海域)
小區域,2018/4/27 上午 03:02:00,121.54,24.63,9,2.5,宜蘭縣政府西偏南方  25.3  公里 (位於宜蘭縣大同鄉)
小區域,2018/4/26 下午 01:46:00,121.07,22.34,5,4.5,臺東縣政府南偏西方  46.6  公里 (位於臺灣東部海域)
083   ,2018/4/26 下午 01:44:00,121.05,22.36,3.7,4.6,臺東縣政府南偏西方  44.9  公里 (位於臺灣東部海域)
082   ,2018/4/26 上午 11:12:00,121.02,22.36,10.4,4.2,臺東縣政府南偏西方  45.4  公里 (位於臺灣東部海域)
小區域,2018/4/24 下午 12:58:00,120.71,23.63,15.2,3.2,雲林縣政府東偏南方  20.3  公里 (位於雲林縣古坑鄉)
小區域,2018/4/24 上午 10:11:00,121.98,24.4,19,3.2,宜蘭縣政府南偏東方  42.8  公里 (位於臺灣東部海域)
小區域,2018/4/24 上午 01:10:00,122.43,24,25.4,5,花蓮縣政府東方  82.6  公里 (位於臺灣東部海域)
小區域,2018/4/23 下午 08:37:00,121.52,23.89,11.3,2.2,花蓮縣政府西南方  15.3  公里 (位於花蓮縣壽豐鄉)
小區域,2018/4/23 上午 08:36:00,121.75,24,7.3,3.7,花蓮縣政府東方  12.9  公里 (位於臺灣東部海域)
小區域,2018/4/23 上午 07:36:00,121.34,23.06,18.7,3.5,臺東縣政府北偏東方  38.9  公里 (位於臺東縣近海)
小區域,2018/4/22 上午 06:32:00,121.74,24.36,11.3,2.9,宜蘭縣政府南方  41.5  公里 (位於宜蘭縣南澳鄉)
081   ,2018/4/21 下午 06:56:00,121.7,23.01,24.2,4.7,臺東縣政府東偏北方  63.0  公里 (位於臺灣東部海域)
小區域,2018/4/21 上午 05:35:00,121.66,24.05,8,2.7,花蓮縣政府北偏東方  7.1  公里 (位於花蓮縣近海)
小區域,2018/4/20 下午 01:25:00,122.37,24.37,70.6,4.7,宜蘭縣政府東偏南方  73.7  公里 (位於臺灣東部海域)
小區域,2018/4/19 上午 10:52:00,121.78,24.24,15.5,3.5,花蓮縣政府北偏東方  32.0  公里 (位於花蓮縣近海)
080   ,2018/4/19 上午 10:46:00,121.79,24.24,16.8,4.2,花蓮縣政府東北方  32.0  公里 (位於花蓮縣近海)
小區域,2018/4/19 上午 06:04:00,121.83,24.04,6.5,3.5,花蓮縣政府東偏北方  21.6  公里 (位於臺灣東部海域)
小區域,2018/4/18 下午 09:36:00,121.61,24,7,2.8,花蓮縣政府北偏西方  1.4  公里 (位於花蓮縣花蓮市)
小區域,2018/4/18 上午 04:02:00,120.52,23.42,12.5,4,嘉義市政府東南方  9.3  公里 (位於嘉義縣中埔鄉)
小區域,2018/4/17 上午 09:18:00,121.3,23.16,6.6,3,臺東縣政府北偏東方  47.4  公里 (位於花蓮縣富里鄉)
079   ,2018/4/16 下午 09:48:00,121.34,23.06,19,4.8,臺東縣政府北偏東方  38.6  公里 (位於臺東縣近海)
小區域,2018/4/16 上午 02:35:00,121.73,24.26,12,2.3,花蓮縣政府北偏東方  32.4  公里 (位於花蓮縣秀林鄉)
078   ,2018/4/15 下午 10:11:00,120.68,23.36,5,4.1,嘉義市政府東偏南方  26.7  公里 (位於嘉義縣阿里山鄉)
小區域,2018/4/15 下午 09:51:00,120.81,23.2,6,3.7,嘉義市政府東南方  47.7  公里 (位於高雄市桃源區)
小區域,2018/4/14 下午 07:28:00,121.8,24.27,17.5,2.7,花蓮縣政府北偏東方  36.3  公里 (位於花蓮縣近海)
小區域,2018/4/11 下午 10:15:00,121.7,24.25,12.3,2.6,花蓮縣政府北偏東方  29.5  公里 (位於花蓮縣秀林鄉)
小區域,2018/4/11 下午 03:39:00,121.67,22.72,24.8,4.5,臺東縣政府東方  53.6  公里 (位於臺灣東部海域)
小區域,2018/4/11 上午 09:27:00,121.53,24.44,7.9,3.2,宜蘭縣政府西南方  39.9  公里 (位於宜蘭縣南澳鄉)
小區域,2018/4/10 下午 03:06:00,121.62,23.99,7.3,2.3,花蓮縣政府西偏北方  .6  公里 (位於花蓮縣花蓮市)
小區域,2018/4/9 下午 03:43:00,121.53,24.44,8,3.1,宜蘭縣政府西南方  40.0  公里 (位於宜蘭縣南澳鄉)
小區域,2018/4/9 上午 05:29:00,121.53,24.44,7.7,3.1,宜蘭縣政府西南方  40.0  公里 (位於宜蘭縣南澳鄉)
小區域,2018/4/9 上午 04:21:00,121.53,24.44,7.8,3.1,宜蘭縣政府西南方  40.3  公里 (位於宜蘭縣南澳鄉)
小區域,2018/4/7 下午 06:43:00,121.74,24.44,6.6,3.6,宜蘭縣政府南方  32.7  公里 (位於宜蘭縣南澳鄉)
